OBJECTID,NUMERO ESTACION,NOMBRE ESTACION,COORDENADA X,COORDENADA Y,UBICACION ESTACION,TRONCAL,NUMERO VAGONES,NUMERO ACCESOS,BICIESTACION,CAPACIDAD BICIESTACION,TIPO ESTACION,BICIPARQUEADERO ESTACION,LATITUD,LONGITUD,globalid,created_user,created_date,last_edited_user,last_edited_date,NODO ESTACIÓN,COMPONENTE WIFI,COMPONENTE APLIFICACION,shape,log_replica,coord_x,coord_y
116,07001,Perdomo,990294.728,999953.6265,AutoSur-Kr78C,NQS,2,1,0,0,4,0,4.59577569,-74.16497116,{61AAA51C-F036-4D99-B895-E3DCA2F52D47},,,,,7001,Valor SI al campo,,,,"-74,16497116404508","4,595775688461351"
87,09110,AV. Jiménez - CL 13,999822.3829,1000757.208,Calle 13 - caracas,Americas,3,2,0,0,3,0,4.60304793,-74.07910861,{F4282057-CEBC-431E-9178-602615311D01},,,,,14003,Valor SI al campo,,,,"-74,07910860667516","4,603047930690347"
71,09110,AV. Jiménez - Caracas,999675.9713,1000737.972,Calle 13 - Calle 11,Caracas,4,2,0,0,3,0,4.60287397,-74.08042807,{D830EF50-FC3D-416D-BE9A-9A13550841A3},,,,,9110,Valor SI al campo,,,,"-74,0804280711814","4,602873973235998"
68,06109,Centro Memoria,1000132.6346,1002683.3122,Carrera 20,Calle 26,2,2,0,0,4,0,4.6204659,-74.07631258,{3A8FC876-3240-4479-A039-BA81B3CB79A5},,,,,6109,Valor SI al campo,,,,"-74,07631258102239","4,620465899199068"
51,02105,Calle 142,1002995.2739,1014447.6377,Calle 142,Autonorte,4,1,0,0,4,0,4.72685125,-74.0505097,{B8FA9F6E-B702-48E9-A7C4-8D464CE71AE8},,,,,2105,Valor NO al campo,Valor SI al campo,,,"-74,0505097017688","4,726851250268016"
146,09003,Socorro,994666.2537,996512.182,Carrera 16B - Carrera 14A,Caracas,2,2,0,0,4,0,4.56465807,-74.12557321,{21385525-A7DE-4947-84C5-13B47354EA84},,,,,9003,Valor SI al campo,,,,"-74,12557320903738","4,56465806509602"
80,07108,AV. El Dorado,999738.3359,1003810.9144,Kr 30 Av 28,NQS,1,1,0,0,4,0,4.63066292,-74.07986613,{EBEED4AA-E9B3-4611-AC61-439982EF993F},,,,,7108,Valor SI al campo,,,,"-74,0798661316369","4,6306629204487475"
70,09002,Consuelo,994855.3348,996021.9462,Carrera 11A - Carrera 10C,Caracas,2,1,0,0,4,0,4.56022492,-74.12386901,{46642201-C25D-4425-9680-AA6CDE85E4D4},,,,,9002,Valor SI al campo,,,,"-74,12386901231737","4,560224917444383"
52,02000,Portal del Norte,1003491.5788,1017518.5086,Calle 173,Autonorte,0,0,0,0,1,0,4.75462117,-74.04603495,{86D54933-E9CE-4439-80CE-E9C36D930A61},,,,,2000,Valor SI al campo,Valor SI al campo,,,"-74,04603494939784","4,7546211715900295"
132,07113,Santa Isabel,997214.4724,1000604.5699,Kr 30 Av 3,NQS,2,1,0,0,4,0,4.60166717,-74.10261112,{503F366F-6753-4C5A-8410-3F44C414437B},,,,,7113,Valor SI al campo,,,,"-74,10261111598875","4,6016671666316125"
84,07109,CAD,999261.073,1003008.9268,Kr 30 Cl 26,NQS,2,2,0,0,4,0,4.62341044,-74.08416734,{C3B3D9F4-C30B-459D-9496-AA9CBFE450E1},,,,,7109,Valor SI al campo,,,,"-74,08416733604143","4,623410435957558"
92,02303,Calle 85,1001982.479,1008416.9027,Calle 85,Autonorte,4,1,0,0,4,0,4.6723151,-74.05964002,{7BA12C0B-3FAD-4085-B1B6-464E608E6DBE},,,,,2303,Valor SI al campo,Valor SI al campo,,,"-74,05964002315534","4,67231509821618"
101,05105,Pradera,995432.3612,1003575.4478,Av. Americas -Carrera 64,Americas,4,1,1,32,4,1,4.62853238,-74.11867306,{3B9CE75E-1813-4DC2-A5A2-ED420A7C1FE8},,,,,5105,Valor SI al campo,,,,"-74,11867306335716","4,628532378239349"
69,12001,Carrera 43,997347.0895,1002942.0369,Av. Americas -Carrera 43,Americas,2,2,0,0,4,0,4.62280517,-74.10141668,{8B902060-2234-4052-97FC-567C92F0BCA5},,,,,12001,Valor SI al campo,,,,"-74,10141667642509","4,622805171464127"
115,06002,Normandía,996033.2243,1008052.7496,carrera 73a,Calle 26,4,1,0,0,4,0,4.66902134,-74.11325992,{B275FCA6-2E77-4A22-9003-1161B048A9D3},,,,,6002,Valor SI al campo,,,,"-74,11325991791793","4,669021344691325"
114,09108,Hospital,999033.2565,999872.2984,Calle 4 - Calle 2,Caracas,2,1,0,0,4,0,4.59504554,-74.08622014,{ABE53C55-F997-4ABC-AD34-4862B94D9A81},,,,,9108,Valor SI al campo,,,,"-74,08622013742381","4,595045543573756"
60,02103,Mazurén,1003138.5941,1015302.8731,Calle 152,Autonorte,5,1,0,0,4,0,4.73458516,-74.04921756,{262E5208-C370-4DA5-B1C4-0B10C3B95A4E},,,,,2103,Valor NO al campo,Valor NO al campo,,,"-74,04921755633052","4,734585157440828"
97,09103,Olaya,996687.3113,998087.9086,Calle 24 Sur - Calle 27 Su,Caracas,2,1,0,0,4,0,4.57890853,-74.10736095,{AEBA47DB-9C7D-4B64-9F4A-86D39A23ED2A},,,,,9103,Valor SI al campo,,,,"-74,10736095035001","4,578908533450647"
112,10004,Policarpa,998955.4783,998900.443,Kra 10- Cl3 sur,Cr 7-10,2,2,0,0,4,0,4.58625694,-74.08692095,{6DF3987A-1ADB-446F-9067-84D61FE50A49},,,,,10004,Valor SI al campo,,,,"-74,08692095362728","4,586256936532831"
108,07000,Portal del Sur,989803.5272,1000090.4772,AutoSur-Kr 82,NQS,0,0,1,220,1,1,4.59701269,-74.16939799,{42FCD157-1F16-4F6B-8774-07E3EDDD3B5F},,,,,7000,Valor SI al campo,,,,"-74,1693979868057","4,597012685948983"
22,06100,AV. Rojas,996532.471,1007271.0248,Calle 26-Carrera 69 d,Calle 26,6,1,1,104,4,1,4.66195235,-74.10875996,{0FD19B6E-AF0B-4272-8D5D-DD4079F93370},,,,,6100,,,,,"-74,10875996429792","4,66195234981033"
59,02205,Calle 106,1002366.4862,1010702.2829,Calle 106,Autonorte,4,1,0,0,4,0,4.6929819,-74.05617838,{84C06C47-28B9-4B5F-B730-83BFF7ED12DF},,,,,2205,Valor NO al campo,Valor NO al campo,,,"-74,0561783771686","4,692981897821361"
135,09101,Quiroga,995908.7432,997854.3104,Calle 31 Sur - Calle 32 Su,Caracas,2,1,0,0,4,0,4.57679575,-74.11437708,{BE492F02-40C8-4F4C-9B28-AC9DB7A0AF7B},,,,,9101,Valor SI al campo,,,,"-74,11437708157136","4,576795750932713"
65,14001,De La Sabana,999513.5752,1001020.7305,Calle 13 - Carrera 16,Americas,2,2,0,0,4,0,4.60543098,-74.0818916,{84C171AA-B203-4DB5-8517-54E2C91131A7},,,,,14001,Valor SI al campo,,,,"-74,08189160442666","4,605430981830611"
127,03000,Portal de Suba,998139.4242,1016655.2375,Av Suba Av C. Cali,Suba,0,0,1,324,1,1,4.74681506,-74.09427889,{FE62F830-742F-43FE-8689-225325CA6CF8},,,,,3000,Valor SI al campo,,,,"-74,0942788928034","4,746815064031737"
124,04101,Minuto de Dios,998449.6291,1011108.396,Carrera 73 A,Calle 80,1,1,0,0,4,0,4.6966546,-74.09148174,{2C99DD9E-CDF5-404D-A308-862E8F38F0D9},,,,,4101,Valor SI al campo,,,,"-74,09148174448973","4,696654599591067"
98,09001,Molinos,995081.1436,995671.889,Carrera 9A,Caracas,2,2,0,0,2,0,4.55705944,-74.12183395,{73AE7786-CEBB-45E3-BE44-E44E0555A801},,,,,9001,Valor SI al campo,,,,"-74,12183394517574","4,557059437228247"
149,07004,Venecia,992771.6106,999930.2974,AutoSur-Av 54,NQS,2,1,0,0,4,0,4.59556711,-74.14264966,{1232BDBD-D8A6-4583-8226-9E58769A72DF},,,,,7004,Valor SI al campo,,,,"-74,14264965974506","4,5955671110055"
73,09113,Calle 22,1000313.3967,1001713.3716,Calle 24 - Calle 22,Caracas,3,2,0,0,4,0,4.61169462,-74.07468354,{53BBF0CB-532C-4779-ABF6-E217F4222C52},,,,,9113,Valor SI al campo,,,,"-74,0746835431877","4,6116946183505645"
103,06001,Modelia,995605.3141,1008718.7818,Carrera 84,Calle 26,4,1,0,0,4,0,4.67504413,-74.11711695,{B6E3A9BB-B0E9-4D54-B82B-8E3ABB63042B},,,,,6001,Valor SI al campo,,,,"-74,11711695084071","4,675044126742554"
44,09104,Restrepo,997346.545,998411.3767,Calle 19 Sur - Av. 1 de M,Caracas,2,2,0,0,4,0,4.58183392,-74.10142022,{8D89A12A-619E-4A77-8E87-88FAB0050866},,,,,9104,,,,,"-74,10142021625252","4,581833915926908"
11,09100,Calle 40 S,995274.3838,997750.2041,Calle 38 Sur - Calle 40 Su,Caracas,3,2,0,0,2,0,4.57585399,-74.12009368,{A6CFD1BA-5C86-4A02-B394-587B3E8F532D},,,,,9100,,,,,"-74,12009367937458","4,575853988383915"
42,03002,Suba - TV. 91,998960.9438,1015772.5642,Av Suba Kr 90,Suba,2,1,0,0,4,0,4.73883312,-74.08687372,{0E63C259-4F75-4DB4-A1AC-F1D4A82450E4},,,,,3002,,,,,"-74,08687371989308","4,738833124452471"
121,05001,Patio Bonito,990335.734,1004088.9552,av.Cali - Calle 40 sur,Americas,4,2,0,0,4,0,4.63317191,-74.16460618,{08E91FE5-B06D-42D7-BC1A-E71D3C65DAF5},,,,,5001,Valor SI al campo,,,,"-74,16460617875651","4,633171910158719"
117,09107,Hortúa,998587.4635,999407.2808,Calle 1 Sur - Calle 3 Sur,Caracas,2,2,0,0,4,0,4.59084028,-74.09023752,{B3BAE53E-3586-4D52-95FD-88F5F8375C0E},,,,,9107,Valor SI al campo,,,,"-74,09023751628078","4,590840276790594"
88,07105,Movistar Arena,999907.0205,1005953.4981,Kr 30 Cl 57,NQS,2,1,0,0,4,0,4.65003852,-74.07834591,{153ADDBA-6C76-4D65-B106-95599D1A0DFF},,,,,7105,Valor SI al campo,,,,"-74,0783459056279","4,65003852341808"
82,07005,Alquería,993701.3005,999785.5084,AutoSur-Kr48,NQS,2,1,0,0,4,0,4.59425849,-74.13427126,{6774148C-7C04-4CBD-BC27-93AB2F2A058C},,,,,7005,Valor SI al campo,,,,"-74,13427125837964","4,5942584851125705"
125,05000,Portal de las Américas,989397.8277,1003669.9042,av.Cali - Calle 43 sur,Americas,0,0,1,785,1,1,4.6293813,-74.17305845,{F5D6839F-4E24-41DA-9CDB-E6695E1AC7AF},,,,,5000,Valor SI al campo,,,,"-74,17305845239599","4,629381302217438"
119,04103,Ferias,999214.8694,1010471.9998,Transversal  67 Bis,Calle 80,1,1,0,0,4,0,4.69089972,-74.08458441,{E2254DE4-9BB4-44F6-96A6-3BD971A8663D},,,,,4103,Valor SI al campo,,,,"-74,08458441044448","4,690899717725939"
113,10009,Museo Nacional,1000918.9183,1002106.2172,Kra 7- Cl32,Cr 7-10,0,1,0,0,4,0,4.61524712,-74.06922646,{8E08FD2C-A5E8-4EE5-81D1-EFA48D7180F6},,,,,10009,Valor SI al campo,,,,"-74,06922645943692","4,615247120542372"
40,05101,Mandalay,992921.7631,1003831.6303,av. Amï¿½ricas Carrera 73,Americas,4,1,0,0,4,0,4.63084738,-74.14129964,{9ACBD3ED-96EE-46A9-97A6-763F7E0C9E55},,,,,5101,,,,,"-74,14129964477348","4,630847383530601"
43,12003,Ricaurte - CL 13,998560.5985,1001859.3774,calle 13 - carrera 28,Americas,3,2,0,0,3,0,4.61301485,-74.09048002,{AA3312B2-D370-45A0-86A5-F07C69E0BCAE},,,,,12003,,,,,"-74,09048002165825","4,61301485160981"
147,03003,21 Ángeles,999628.8228,1015396.6792,Av Suba Cl 136,Suba,2,1,0,0,4,0,4.73543402,-74.0808536,{5979BDED-AFD3-4A92-BD68-71CAFE2E1082},,,,,3003,Valor SI al campo,,,,"-74,08085360254393","4,735434023404413"
9,07102,NQS - Calle 75,1000687.6499,1008178.0879,Kr 30 - Cl 75A,NQS,4,1,0,0,4,0,4.67015567,-74.07131021,{1DE35685-5378-460A-9841-A6D311113E10},,,,,7102,,,,,"-74,07131021279493","4,670155674213979"
120,09118,Marly,1001191.5198,1004573.2678,Calle 51 - Calle 49,Caracas,3,2,0,0,4,0,4.63755688,-74.06676939,{F9726C5B-D453-4DAC-ADC3-E196B6A2A772},,,,,9118,Valor SI al campo,,,,"-74,06676938953747","4,637556882300223"
15,03001,La Campiña,998496.9338,1016182.7993,Av Suba Kr 98A,Suba,2,1,0,0,4,0,4.74254284,-74.09105627,{42A12F7D-B19D-498E-9CB9-BC364F6F7AEE},,,,,3001,,,,,"-74,09105626687432","4,742542841597397"
79,08002,Biblioteca,994132.0024,997136.3229,Calle 48A Sur,Tunal,2,1,0,0,4,0,4.5703019,-74.13038805,{CF4340F1-4877-4FAF-9B42-C7FC10D89F46},,,,,8002,Valor SI al campo,,,,"-74,13038805047997","4,570301904335044"
48,02101,Toberín,1003354.6798,1016585.9596,Calle 165,Autonorte,5,1,0,0,4,0,4.74618812,-74.04726932,{69E56C32-F9BC-471D-AB1A-056B0130CD0C},,,,,2101,Valor NO al campo,Valor SI al campo,,,"-74,04726931940019","4,746188120330679"
26,07104,Simón Bolívar,999982.8049,1006755.4525,Kr 30 CL 63,NQS,2,1,0,0,4,0,4.65729068,-74.07766289,{3C4A2BC0-FC6D-4A61-B343-284579954276},,,,,7104,,,,,"-74,07766289116603","4,657290675330704"
85,05100,Banderas,992425.812,1003881.798,Av. Americas -Carrera 78,Americas,0,2,1,101,2,1,4.63130064,-74.14576938,{ADD8E881-2952-484A-968E-D0E992ECF021},,,,,5100,Valor SI al campo,,,,"-74,14576938368515","4,631300637603736"
72,07112,Comuneros,997520.095,1000889.72,KR 30 -Cl 6A,NQS,2,2,0,0,4,0,4.6042459,-74.09985692,{E0348EB3-31DB-4725-9BC1-357A206432A4},,,,,7112,Valor SI al campo,,,,"-74,09985692301078","4,604245901954173"
95,04106,Carrera 47,1000429.0753,1009046.2255,Carrera 46,Calle 80,1,1,0,0,4,0,4.67800634,-74.07364067,{B333C4BD-1159-40F9-B25B-029D17773219},,,,,4106,Valor SI al campo,,,,"-74,07364067078416","4,678006338893523"
57,02304,Héroes,1001907.884,1007954.8061,Calle 80,Autonorte,6,1,0,0,4,0,4.66813633,-74.06031244,{0DF4E81C-BAF8-4466-AC28-5ECF855DB3D1},,,,,2304,Valor SI al campo,Valor NO al campo,,,"-74,06031244250185","4,668136332805615"
81,09114,Calle 26,1000594.3086,1002260.7829,Avenida Calle 28 - Calle 2,Caracas,3,2,0,0,4,0,4.6166449,-74.07215189,{CFE0AD2E-303F-4C20-AE2F-4B997744E8ED},,,,,9114,Valor SI al campo,,,,"-74,07215189002983","4,616644902753248"
61,09117,Calle 45,1001069.5372,1003898.1432,Calle 45 - Calle 42A,Caracas,3,2,0,0,4,0,4.63145168,-74.06786884,{BEACDAB7-99E5-4447-80B5-E22B6CDA6F8C},,,,,9117,Valor SI al campo,,,,"-74,06786883580293","4,631451677691428"
19,12002,CDS - Carrera 32,998175.2605,1002204.1604,Av. Americas -Carrera 32,Americas,2,2,0,0,4,0,4.61613269,-74.09395282,{1AD2B63F-1149-4105-B245-22193CFCB1BD},,,,,12002,,,,,"-74,09395281791839","4,6161326890905725"
77,10005,Bicentenario,999519.7539,999759.0085,Kra 10 -Cl5,Cr 7-10,0,2,1,116,2,1,4.59402109,-74.08183585,{DF06F5B3-31D2-4524-8506-454D988C4184},,,,,10005,Valor SI al campo,,,,"-74,08183585275427","4,594021090423108"
30,07200,Tygua - San José,998750.933,1000396.1343,Carrera 18,Calle 6,4,2,0,0,4,0,4.59978261,-74.08876449,{E28A46F2-9110-419F-87DF-E0666EBEE682},,,,,13002,,,,,"-74,08876449018751","4,599782614204862"
21,07107,U. Nacional,999798.8106,1004524.8136,Kr 30 Cl 45,NQS,3,2,0,0,4,0,4.63711879,-74.07932113,{218ADE27-CB61-485A-961E-3B12F3787E12},,,,,7107,,,,,"-74,07932112741747","4,637118785379603"
131,06111,Universidades,1001131.6384,1000933.5853,carrera 4,Calle 26,2,2,0,0,3,0,4.60464286,-74.06730954,{18CF8D0E-B271-4272-8498-9B1F1474DAFF},,,,,6111,Valor SI al campo,,,,"-74,06730953878395","4,604642858648893"
3,07106,Campín,999867.8276,1005440.124,Kr 30 Cl 53,NQS,2,2,0,0,4,0,4.64539603,-74.07869913,{FE684396-CDD5-44E5-A998-85528256441F},,,,,7106,,,,,"-74,07869912857295","4,645396030342957"
17,06106,Recinto Ferial,998647.8889,1004214.6898,Carrera 43,Calle 26,2,1,0,0,4,0,4.6343142,-74.08969371,{122D1585-5496-487F-9001-2149C0DB5458},,,,,6106,,,,,"-74,08969371124014","4,634314201620707"
37,06104,Gobernación,997891.1818,1005158.0724,Carrera 54,Calle 26,4,1,0,0,4,0,4.64284515,-74.0965137,{75321FE8-2280-4443-B163-3EDCB4D8400C},,,,,6104,,,,,"-74,09651370212428","4,642845154660082"
28,05107,Américas - Carrera 53A,996219.2913,1003503.9181,Amï¿½ricas - KR 53A,Americas,4,1,0,0,4,0,4.6278859,-74.11158095,{458EDCA4-746E-4CC3-9D1D-B5D9C6ACCBD0},,,,,5107,,,,,"-74,11158094608565","4,62788590491352"
104,06000,Portal El Dorado,995130.6531,1009444.2454,carrera 87,Calle 26,0,0,1,532,1,1,4.6816043,-74.12139545,{D70CCE5C-62F9-4627-A093-19138C5781F4},,,,,6000,Valor SI al campo,,,,"-74,12139544897596","4,681604302999442"
5,04100,Granja - Carrera 77,997946.6228,1011384.1234,Carrera 77 Bis,Calle 80,3,2,0,0,2,0,4.69914792,-74.09601551,{60A28773-5F3D-43BF-B831-F4057A66E641},,,,,4100,,,,,"-74,09601551453551","4,699147920370871"
56,02202,Calle 127,1002582.6987,1011991.5179,Calle 127,Autonorte,2,1,0,0,4,0,4.7046405,-74.05422923,{52D87AFF-3799-4279-A1C8-109F255CC2EB},,,,,2202,Valor NO al campo,Valor SI al campo,,,"-74,05422923077711","4,704640496753121"
91,09120,Calle 63,1001403.1673,1005772.7318,Calle 63 - Calle 60,Caracas,3,2,0,0,4,0,4.64840372,-74.06486173,{536B1ED7-5DA4-498C-9963-6DF31143B7B3},,,,,9120,Valor SI al campo,,,,"-74,06486173134074","4,648403723040003"
74,06101,El Tiempo - Maloka,996880.2363,1006732.282,carrera 68d,Calle 26,4,1,0,0,4,0,4.65708058,-74.10562544,{92D04B1E-72B6-4726-A1B3-04C80C9BBC9A},,,,,6101,Valor SI al campo,,,,"-74,1056254417057","4,657080580238037"
54,02200,Alcalá,1002890.5473,1013817.9858,Calle 137,Autonorte,3,2,0,0,4,0,4.7211573,-74.05145388,{C181DAF1-5CB7-4305-8AB3-665C99CD40AD},,,,,2200,Valor NO al campo,Valor SI al campo,,,"-74,05145387841854","4,721157295219916"
29,04108,Polo,1001415.651,1008237.4749,Transversal 27,Calle 80,1,1,0,0,4,0,4.67069263,-74.06474882,{2214F32B-5F2A-4537-A91E-CEE0F3CBF6D5},,,,,4108,,,,,"-74,06474881890287","4,670692627674217"
4,10008,San Diego,1000667.0148,1001625.2083,Kra 10- Cl23,Cr 7-10,2,2,0,0,4,0,4.61089733,-74.0714967,{54948C3D-058F-4370-83C8-58688E9CADA8},,,,,10008,,,,,"-74,07149669571838","4,610897328303179"
